#============================================================================
# Data Source: 
#   E008R01 US Egg Production Data Set
#   Contributors: Samara Mendez 
#   cagefree-ratios.csv (Version: 3)
#   https://osf.io/6hty8/
#   accessed 2019 October 19 Saturday
#
# This comment header added by Daniel J. Greenhoe
#============================================================================
observed_month,ratio_hens,ratio_eggs,source
2007-12-31,0.032,NA,Egg-Markets-Overview-2018-10-19.pdf
2008-12-31,0.035,NA,Egg-Markets-Overview-2018-10-19.pdf
2009-12-31,0.036,NA,Egg-Markets-Overview-2018-10-19.pdf
2010-12-31,0.044,NA,Egg-Markets-Overview-2018-10-19.pdf
2011-12-31,0.054,NA,Egg-Markets-Overview-2018-10-19.pdf
2012-12-31,0.06,NA,Egg-Markets-Overview-2018-10-19.pdf
2013-12-31,0.059,NA,Egg-Markets-Overview-2018-10-19.pdf
2014-12-31,0.057,NA,Egg-Markets-Overview-2018-10-19.pdf
2015-12-31,0.086,NA,Egg-Markets-Overview-2018-10-19.pdf
2016-08-01,0.10135685255402653,0.09634938433950986,computed
2016-09-01,0.10057044877501896,0.09557439112898428,computed
2016-10-01,0.1229352758850686,0.11602312880027454,computed
2016-11-01,0.12100615329162483,0.11372893007775514,computed
2016-12-01,0.11793488488802459,0.10922373142052154,computed
2017-01-01,0.11819847913765408,0.11134664099991867,computed
2017-02-01,0.12152509256424258,0.11495958642899518,computed
2017-03-01,0.12842127238278395,0.11916746966881629,computed
2017-04-01,0.13082770753021422,0.12366717971727313,computed
2017-05-01,0.13415684504083938,0.12643049284596325,computed
2017-06-01,0.13481425234396618,0.12694925845453553,computed
2017-07-01,0.13556505834771632,0.12746922808243102,computed
2017-08-01,0.1471244872326141,0.13992594073980458,computed
2017-09-01,0.1530265971750906,0.14580099350253217,computed
2017-10-01,0.15697888729297219,0.14898044654825893,computed
2017-11-01,0.15461368487602736,0.14557200857659247,computed
2017-12-01,0.15431955014453874,0.1450954345771006,computed
2018-01-01,0.15628014063034754,0.14842950853120457,computed
2018-02-01,0.16070222194676004,0.15287288092622328,computed
2018-03-01,0.15978369717604646,0.15200143505511132,computed
2018-04-01,0.16802016673968984,0.15984825272574782,computed
2018-05-01,0.16831202710053905,0.15960442802035724,computed
2018-06-01,0.16910273532175893,0.16098924995530128,computed
2018-07-01,0.16926076059040135,0.16096984679476864,computed
2018-08-01,0.16892830892571478,0.15961225273552987,computed
2018-09-01,0.17577628472852733,0.166151704940849,computed
2018-10-01,0.17498591687281098,0.16528947127006757,computed
2018-11-01,0.17340282876334137,0.16340388977644424,computed
2018-12-01,0.1725323520799814,0.1625076540681534,computed
2019-01-01,0.17183934482416502,0.16218756382945668,computed
2019-02-01,0.1701266619556891,0.16115221712233088,computed
2019-03-01,0.1814745272916636,0.17128517604684412,computed
2019-04-01,0.19539796636522386,0.1841838655462185,computed
2019-05-01,0.19931186215720154,0.18697246786856794,computed
2019-06-01,0.2035607588601932,0.1914980584815395,computed
2019-07-01,0.20452446203042932,0.1927950494497453,computed
