%=============================================================================
% Daniel J. Greenhoe 
% Sunspot DFT synthesis vector data using 2 x 17 = 34 coefficients
% Sunspot data file suitable for use with LaTeX PStricks / pst-plot
% For an example, see "sunspots_dft_synth.tex"
% This file auto-generated using "sunspots.R" --- hand-editing not recommended
% Total RMS synthesis error using 17 coefficient pairs =   0.83069000
%=============================================================================
[
  (1854.62300000, -15.39729729)
  (1854.70700000, -12.65729030)
  (1854.79000000,  -9.82423342)
  (1854.87400000,  -6.90280170)
  (1854.95800000,  -3.89777632)
  (1855.04200000,  -0.81403531)
  (1855.12300000,   2.34345584)
  (1855.20400000,   5.56965351)
  (1855.28800000,   8.85944538)
  (1855.37100000,  12.20765978)
  (1855.45500000,  15.60907508)
  (1855.53800000,  19.05842902)
  (1855.62300000,  22.55042798)
  (1855.70700000,  26.07975616)
  (1855.79000000,  29.64108475)
  (1855.87400000,  33.22908091)
  (1855.95800000,  36.83841667)
  (1856.04200000,  40.46377771)
  (1856.12400000,  44.09987199)
  (1856.20600000,  47.74143821)
  (1856.29000000,  51.38325412)
  (1856.37300000,  55.02014464)
  (1856.45600000,  58.64698976)
  (1856.54000000,  62.25873228)
  (1856.62400000,  65.85038534)
  (1856.70800000,  69.41703968)
  (1856.79100000,  72.95387070)
  (1856.87400000,  76.45614528)
  (1856.95800000,  79.91922834)
  (1857.04200000,  83.33858919)
  (1857.12300000,  86.70980752)
  (1857.20400000,  90.02857926)
  (1857.28800000,  93.29072207)
  (1857.37100000,  96.49218056)
  (1857.45500000,  99.62903132)
  (1857.53800000, 102.69748755)
  (1857.62300000, 105.69390349)
  (1857.70700000, 108.61477853)
  (1857.79000000, 111.45676106)
  (1857.87400000, 114.21665198)
  (1857.95800000, 116.89140799)
  (1858.04200000, 119.47814457)
  (1858.12300000, 121.97413861)
  (1858.20400000, 124.37683088)
  (1858.28800000, 126.68382810)
  (1858.37100000, 128.89290478)
  (1858.45500000, 131.00200482)
  (1858.53800000, 133.00924276)
  (1858.62300000, 134.91290479)
  (1858.70700000, 136.71144954)
  (1858.79000000, 138.40350852)
  (1858.87400000, 139.98788638)
  (1858.95800000, 141.46356086)
  (1859.04200000, 142.82968252)
  (1859.12300000, 144.08557427)
  (1859.20400000, 145.23073054)
  (1859.28800000, 146.26481635)
  (1859.37100000, 147.18766608)
  (1859.45500000, 147.99928207)
  (1859.53800000, 148.69983292)
  (1859.62300000, 149.28965172)
  (1859.70700000, 149.76923392)
  (1859.79000000, 150.13923518)
  (1859.87400000, 150.40046888)
  (1859.95800000, 150.55390352)
  (1860.04200000, 150.60065998)
  (1860.12400000, 150.54200854)
  (1860.20600000, 150.37936581)
  (1860.29000000, 150.11429145)
  (1860.37300000, 149.74848476)
  (1860.45600000, 149.28378119)
  (1860.54000000, 148.72214861)
  (1860.62400000, 148.06568355)
  (1860.70800000, 147.31660729)
  (1860.79100000, 146.47726177)
  (1860.87400000, 145.55010556)
  (1860.95800000, 144.53770950)
  (1861.04200000, 143.44275247)
  (1861.12300000, 142.26801691)
  (1861.20400000, 141.01638434)
  (1861.28800000, 139.69083078)
  (1861.37100000, 138.29442209)
  (1861.45500000, 136.83030925)
  (1861.53800000, 135.30172360)
  (1861.62300000, 133.71197198)
  (1861.70700000, 132.06443185)
  (1861.79000000, 130.36254636)
  (1861.87400000, 128.60981939)
  (1861.95800000, 126.80981050)
  (1862.04200000, 124.96612993)
  (1862.12300000, 123.08243350)
  (1862.20400000, 121.16241753)
  (1862.28800000, 119.20981370)
  (1862.37100000, 117.22838397)
  (1862.45500000, 115.22191537)
  (1862.53800000, 113.19421489)
  (1862.62300000, 111.14910434)
  (1862.70700000, 109.09041516)
  (1862.79000000, 107.02198328)
  (1862.87400000, 104.94764399)
  (1862.95800000, 102.87122680)
  (1863.04200000, 100.79655031)
  (1863.12300000,  98.72741714)
  (1863.20400000,  96.66760880)
  (1863.28800000,  94.62088071)
  (1863.37100000,  92.59095710)
  (1863.45500000,  90.58152608)
  (1863.53800000,  88.59623464)
  (1863.62300000,  86.63868376)
  (1863.70700000,  84.71242354)
  (1863.79000000,  82.82094835)
  (1863.87400000,  80.96769210)
  (1863.95800000,  79.15602347)
  (1864.04200000,  77.38924130)
  (1864.12400000,  75.67056998)
  (1864.20600000,  74.00315490)
  (1864.29000000,  72.39005803)
  (1864.37300000,  70.83425352)
  (1864.45600000,  69.33862342)
  (1864.54000000,  67.90595343)
  (1864.62400000,  66.53892883)
  (1864.70800000,  65.24013043)
  (1864.79100000,  64.01203062)
  (1864.87400000,  62.85698958)
  (1864.95800000,  61.77725155)
  (1865.04200000,  60.77494125)
  (1865.12300000,  59.85206037)
  (1865.20400000,  59.01048424)
  (1865.28800000,  58.25195861)
  (1865.37100000,  57.57809653)
  (1865.45500000,  56.99037546)
  (1865.53800000,  56.49013442)
  (1865.62300000,  56.07857140)
  (1865.70700000,  55.75674079)
  (1865.79000000,  55.52555116)
  (1865.87400000,  55.38576301)
  (1865.95800000,  55.33798686)
  (1866.04200000,  55.38268141)
  (1866.12300000,  55.52015193)
  (1866.20400000,  55.75054887)
  (1866.28800000,  56.07386660)
  (1866.37100000,  56.48994240)
  (1866.45500000,  56.99845562)
  (1866.53800000,  57.59892713)
  (1866.62300000,  58.29071884)
  (1866.70700000,  59.07303364)
  (1866.79000000,  59.94491535)
  (1866.87400000,  60.90524909)
  (1866.95800000,  61.95276174)
  (1867.04200000,  63.08602275)
  (1867.12300000,  64.30344508)
  (1867.20400000,  65.60328649)
  (1867.28800000,  66.98365099)
  (1867.37100000,  68.44249062)
