%============================================================================
% Daniel J. Greenhoe
% n=2 order B-spline auto-power spectrum data
% M = number of data points approx= 1024
% N = iterations per data point = 1000000
% 2017 June 02 Friday 09:36:53 PM UTC
% The command ileplot{d4_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%============================================================================
[
(-8.000000, 0.470989)
(-7.984375, 0.477553)
(-7.968750, 0.484147)
(-7.953125, 0.490768)
(-7.937500, 0.497416)
(-7.921875, 0.504089)
(-7.906250, 0.510785)
(-7.890625, 0.517503)
(-7.875000, 0.524241)
(-7.859375, 0.530997)
(-7.843750, 0.537770)
(-7.828125, 0.544559)
(-7.812500, 0.551361)
(-7.796875, 0.558175)
(-7.781250, 0.564999)
(-7.765625, 0.571831)
(-7.750000, 0.578670)
(-7.734375, 0.585514)
(-7.718750, 0.592361)
(-7.703125, 0.599210)
(-7.687500, 0.606058)
(-7.671875, 0.612904)
(-7.656250, 0.619746)
(-7.640625, 0.626583)
(-7.625000, 0.633411)
(-7.609375, 0.640231)
(-7.593750, 0.647039)
(-7.578125, 0.653834)
(-7.562500, 0.660614)
(-7.546875, 0.667377)
(-7.531250, 0.674122)
(-7.515625, 0.680846)
(-7.500000, 0.687547)
(-7.484375, 0.694224)
(-7.468750, 0.700876)
(-7.453125, 0.707499)
(-7.437500, 0.714092)
(-7.421875, 0.720653)
(-7.406250, 0.727180)
(-7.390625, 0.733672)
(-7.375000, 0.740126)
(-7.359375, 0.746541)
(-7.343750, 0.752915)
(-7.328125, 0.759245)
(-7.312500, 0.765531)
(-7.296875, 0.771769)
(-7.281250, 0.777959)
(-7.265625, 0.784098)
(-7.250000, 0.790185)
(-7.234375, 0.796217)
(-7.218750, 0.802194)
(-7.203125, 0.808112)
(-7.187500, 0.813971)
(-7.171875, 0.819768)
(-7.156250, 0.825501)
(-7.140625, 0.831170)
(-7.125000, 0.836771)
(-7.109375, 0.842304)
(-7.093750, 0.847767)
(-7.078125, 0.853157)
(-7.062500, 0.858474)
(-7.046875, 0.863715)
(-7.031250, 0.868880)
(-7.015625, 0.873965)
(-7.000000, 0.878970)
(-6.984375, 0.883893)
(-6.968750, 0.888732)
(-6.953125, 0.893487)
(-6.937500, 0.898154)
(-6.921875, 0.902734)
(-6.906250, 0.907224)
(-6.890625, 0.911623)
(-6.875000, 0.915929)
(-6.859375, 0.920141)
(-6.843750, 0.924258)
(-6.828125, 0.928279)
(-6.812500, 0.932201)
(-6.796875, 0.936024)
(-6.781250, 0.939746)
(-6.765625, 0.943367)
(-6.750000, 0.946885)
(-6.734375, 0.950298)
(-6.718750, 0.953607)
(-6.703125, 0.956808)
(-6.687500, 0.959903)
(-6.671875, 0.962889)
(-6.656250, 0.965765)
(-6.640625, 0.968531)
(-6.625000, 0.971186)
(-6.609375, 0.973728)
(-6.593750, 0.976157)
(-6.578125, 0.978472)
(-6.562500, 0.980672)
(-6.546875, 0.982757)
(-6.531250, 0.984726)
(-6.515625, 0.986578)
(-6.500000, 0.988312)
(-6.484375, 0.989928)
(-6.468750, 0.991426)
(-6.453125, 0.992804)
(-6.437500, 0.994063)
(-6.421875, 0.995202)
(-6.406250, 0.996220)
(-6.390625, 0.997118)
(-6.375000, 0.997895)
(-6.359375, 0.998550)
(-6.343750, 0.999083)
(-6.328125, 0.999495)
(-6.312500, 0.999785)
(-6.296875, 0.999953)
(-6.281250, 0.999999)
(-6.265625, 0.999923)
(-6.250000, 0.999725)
(-6.234375, 0.999405)
(-6.218750, 0.998963)
(-6.203125, 0.998399)
(-6.187500, 0.997714)
(-6.171875, 0.996907)
(-6.156250, 0.995979)
(-6.140625, 0.994931)
(-6.125000, 0.993763)
(-6.109375, 0.992474)
(-6.093750, 0.991066)
(-6.078125, 0.989539)
(-6.062500, 0.987893)
(-6.046875, 0.986130)
(-6.031250, 0.984249)
(-6.015625, 0.982252)
(-6.000000, 0.980138)
(-5.984375, 0.977909)
(-5.968750, 0.975566)
(-5.953125, 0.973109)
(-5.937500, 0.970538)
(-5.921875, 0.967856)
(-5.906250, 0.965063)
(-5.890625, 0.962159)
(-5.875000, 0.959146)
(-5.859375, 0.956025)
(-5.843750, 0.952797)
(-5.828125, 0.949462)
(-5.812500, 0.946023)
(-5.796875, 0.942480)
(-5.781250, 0.938834)
(-5.765625, 0.935086)
(-5.750000, 0.931238)
(-5.734375, 0.927292)
(-5.718750, 0.923247)
(-5.703125, 0.919107)
(-5.687500, 0.914871)
(-5.671875, 0.910542)
(-5.656250, 0.906120)
(-5.640625, 0.901608)
(-5.625000, 0.897006)
(-5.609375, 0.892317)
(-5.593750, 0.887541)
(-5.578125, 0.882681)
(-5.562500, 0.877738)
(-5.546875, 0.872713)
(-5.531250, 0.867608)
(-5.515625, 0.862424)
(-5.500000, 0.857164)
(-5.484375, 0.851829)
(-5.468750, 0.846420)
(-5.453125, 0.840940)
(-5.437500, 0.835390)
(-5.421875, 0.829772)
(-5.406250, 0.824087)
(-5.390625, 0.818337)
(-5.375000, 0.812525)
(-5.359375, 0.806651)
(-5.343750, 0.800719)
(-5.328125, 0.794728)
(-5.312500, 0.788682)
(-5.296875, 0.782582)
(-5.281250, 0.776430)
(-5.265625, 0.770228)
(-5.250000, 0.763978)
(-5.234375, 0.757681)
(-5.218750, 0.751340)
(-5.203125, 0.744956)
(-5.187500, 0.738531)
(-5.171875, 0.732067)
(-5.156250, 0.725566)
(-5.140625, 0.719030)
(-5.125000, 0.712461)
(-5.109375, 0.705861)
(-5.093750, 0.699230)
(-5.078125, 0.692573)
(-5.062500, 0.685889)
(-5.046875, 0.679182)
(-5.031250, 0.672453)
(-5.015625, 0.665703)
(-5.000000, 0.658936)
(-4.984375, 0.652152)
(-4.968750, 0.645353)
(-4.953125, 0.638542)
(-4.937500, 0.631720)
(-4.921875, 0.624890)
(-4.906250, 0.618052)
(-4.890625, 0.611208)
(-4.875000, 0.604362)
(-4.859375, 0.597513)
(-4.843750, 0.590665)
(-4.828125, 0.583818)
(-4.812500, 0.576975)
(-4.796875, 0.570138)
(-4.781250, 0.563307)
(-4.765625, 0.556486)
(-4.750000, 0.549675)
(-4.734375, 0.542876)
(-4.718750, 0.536091)
(-4.703125, 0.529322)
(-4.687500, 0.522570)
(-4.671875, 0.515837)
(-4.656250, 0.509124)
(-4.640625, 0.502434)
(-4.625000, 0.495767)
(-4.609375, 0.489125)
(-4.593750, 0.482511)
(-4.578125, 0.475924)
(-4.562500, 0.469368)
(-4.546875, 0.462842)
(-4.531250, 0.456350)
(-4.515625, 0.449892)
(-4.500000, 0.443470)
(-4.484375, 0.437084)
(-4.468750, 0.430738)
(-4.453125, 0.424431)
(-4.437500, 0.418165)
(-4.421875, 0.411942)
(-4.406250, 0.405763)
(-4.390625, 0.399629)
(-4.375000, 0.393542)
(-4.359375, 0.387502)
(-4.343750, 0.381512)
(-4.328125, 0.375571)
(-4.312500, 0.369682)
(-4.296875, 0.363845)
(-4.281250, 0.358062)
(-4.265625, 0.352334)
(-4.250000, 0.346662)
(-4.234375, 0.341047)
(-4.218750, 0.335489)
(-4.203125, 0.329991)
(-4.187500, 0.324553)
(-4.171875, 0.319176)
(-4.156250, 0.313862)
(-4.140625, 0.308610)
(-4.125000, 0.303422)
(-4.109375, 0.298299)
(-4.093750, 0.293242)
(-4.078125, 0.288252)
(-4.062500, 0.283329)
(-4.046875, 0.278475)
(-4.031250, 0.273689)
(-4.015625, 0.268974)
(-4.000000, 0.264329)
(-3.984375, 0.259756)
(-3.968750, 0.255256)
(-3.953125, 0.250828)
(-3.937500, 0.246474)
(-3.921875, 0.242194)
(-3.906250, 0.237989)
(-3.890625, 0.233860)
(-3.875000, 0.229808)
(-3.859375, 0.225832)
(-3.843750, 0.221933)
(-3.828125, 0.218113)
(-3.812500, 0.214371)
(-3.796875, 0.210709)
(-3.781250, 0.207126)
(-3.765625, 0.203623)
(-3.750000, 0.200202)
(-3.734375, 0.196861)
(-3.718750, 0.193602)
(-3.703125, 0.190425)
(-3.687500, 0.187330)
(-3.671875, 0.184318)
(-3.656250, 0.181390)
(-3.640625, 0.178546)
(-3.625000, 0.175785)
(-3.609375, 0.173109)
(-3.593750, 0.170518)
(-3.578125, 0.168011)
(-3.562500, 0.165590)
(-3.546875, 0.163255)
(-3.531250, 0.161006)
(-3.515625, 0.158843)
(-3.500000, 0.156767)
(-3.484375, 0.154778)
(-3.468750, 0.152875)
(-3.453125, 0.151060)
(-3.437500, 0.149332)
(-3.421875, 0.147692)
(-3.406250, 0.146140)
(-3.390625, 0.144676)
(-3.375000, 0.143300)
(-3.359375, 0.142013)
(-3.343750, 0.140814)
(-3.328125, 0.139704)
(-3.312500, 0.138682)
(-3.296875, 0.137750)
(-3.281250, 0.136906)
(-3.265625, 0.136152)
(-3.250000, 0.135487)
(-3.234375, 0.134911)
(-3.218750, 0.134425)
(-3.203125, 0.134027)
(-3.187500, 0.133720)
(-3.171875, 0.133501)
(-3.156250, 0.133373)
(-3.140625, 0.133334)
(-3.125000, 0.133384)
(-3.109375, 0.133524)
(-3.093750, 0.133753)
(-3.078125, 0.134072)
(-3.062500, 0.134480)
(-3.046875, 0.134978)
(-3.031250, 0.135564)
(-3.015625, 0.136241)
(-3.000000, 0.137006)
(-2.984375, 0.137861)
(-2.968750, 0.138804)
(-2.953125, 0.139837)
(-2.937500, 0.140958)
(-2.921875, 0.142168)
(-2.906250, 0.143466)
(-2.890625, 0.144853)
(-2.875000, 0.146328)
(-2.859375, 0.147891)
(-2.843750, 0.149542)
(-2.828125, 0.151280)
(-2.812500, 0.153106)
(-2.796875, 0.155019)
(-2.781250, 0.157020)
(-2.765625, 0.159107)
(-2.750000, 0.161280)
(-2.734375, 0.163540)
(-2.718750, 0.165886)
(-2.703125, 0.168317)
(-2.687500, 0.170834)
(-2.671875, 0.173436)
(-2.656250, 0.176122)
(-2.640625, 0.178893)
(-2.625000, 0.181748)
(-2.609375, 0.184687)
(-2.593750, 0.187709)
(-2.578125, 0.190814)
(-2.562500, 0.194001)
(-2.546875, 0.197270)
(-2.531250, 0.200621)
(-2.515625, 0.204053)
(-2.500000, 0.207565)
(-2.484375, 0.211158)
(-2.468750, 0.214830)
(-2.453125, 0.218582)
(-2.437500, 0.222412)
(-2.421875, 0.226320)
(-2.406250, 0.230305)
(-2.390625, 0.234368)
(-2.375000, 0.238506)
(-2.359375, 0.242720)
(-2.343750, 0.247009)
(-2.328125, 0.251372)
(-2.312500, 0.255809)
(-2.296875, 0.260319)
(-2.281250, 0.264901)
(-2.265625, 0.269554)
(-2.250000, 0.274278)
(-2.234375, 0.279072)
(-2.218750, 0.283935)
(-2.203125, 0.288866)
(-2.187500, 0.293865)
(-2.171875, 0.298930)
(-2.156250, 0.304061)
(-2.140625, 0.309257)
(-2.125000, 0.314516)
(-2.109375, 0.319839)
(-2.093750, 0.325224)
(-2.078125, 0.330669)
(-2.062500, 0.336175)
(-2.046875, 0.341739)
(-2.031250, 0.347361)
(-2.015625, 0.353041)
(-2.000000, 0.358776)
(-1.984375, 0.364565)
(-1.968750, 0.370409)
(-1.953125, 0.376304)
(-1.937500, 0.382251)
(-1.921875, 0.388248)
(-1.906250, 0.394293)
(-1.890625, 0.400387)
(-1.875000, 0.406526)
(-1.859375, 0.412711)
(-1.843750, 0.418939)
(-1.828125, 0.425210)
(-1.812500, 0.431522)
(-1.796875, 0.437873)
(-1.781250, 0.444263)
(-1.765625, 0.450690)
(-1.750000, 0.457152)
(-1.734375, 0.463649)
(-1.718750, 0.470178)
(-1.703125, 0.476738)
(-1.687500, 0.483328)
(-1.671875, 0.489947)
(-1.656250, 0.496591)
(-1.640625, 0.503261)
(-1.625000, 0.509954)
(-1.609375, 0.516670)
(-1.593750, 0.523405)
(-1.578125, 0.530159)
(-1.562500, 0.536931)
(-1.546875, 0.543717)
(-1.531250, 0.550518)
(-1.515625, 0.557330)
(-1.500000, 0.564153)
(-1.484375, 0.570984)
(-1.468750, 0.577823)
(-1.453125, 0.584666)
(-1.437500, 0.591513)
(-1.421875, 0.598361)
(-1.406250, 0.605210)
(-1.390625, 0.612056)
(-1.375000, 0.618899)
(-1.359375, 0.625736)
(-1.343750, 0.632566)
(-1.328125, 0.639387)
(-1.312500, 0.646196)
(-1.296875, 0.652993)
(-1.281250, 0.659775)
(-1.265625, 0.666540)
(-1.250000, 0.673287)
(-1.234375, 0.680014)
(-1.218750, 0.686718)
(-1.203125, 0.693399)
(-1.187500, 0.700053)
(-1.171875, 0.706680)
(-1.156250, 0.713277)
(-1.140625, 0.719842)
(-1.125000, 0.726374)
(-1.109375, 0.732870)
(-1.093750, 0.739329)
(-1.078125, 0.745749)
(-1.062500, 0.752128)
(-1.046875, 0.758464)
(-1.031250, 0.764755)
(-1.015625, 0.770999)
(-1.000000, 0.777195)
(-0.984375, 0.783341)
(-0.968750, 0.789434)
(-0.953125, 0.795473)
(-0.937500, 0.801457)
(-0.921875, 0.807382)
(-0.906250, 0.813248)
(-0.890625, 0.819053)
(-0.875000, 0.824795)
(-0.859375, 0.830471)
(-0.843750, 0.836081)
(-0.828125, 0.841623)
(-0.812500, 0.847094)
(-0.796875, 0.852494)
(-0.781250, 0.857820)
(-0.765625, 0.863070)
(-0.750000, 0.868244)
(-0.734375, 0.873339)
(-0.718750, 0.878354)
(-0.703125, 0.883288)
(-0.687500, 0.888138)
(-0.671875, 0.892903)
(-0.656250, 0.897581)
(-0.640625, 0.902172)
(-0.625000, 0.906673)
(-0.609375, 0.911083)
(-0.593750, 0.915401)
(-0.578125, 0.919625)
(-0.562500, 0.923754)
(-0.546875, 0.927786)
(-0.531250, 0.931720)
(-0.515625, 0.935556)
(-0.500000, 0.939291)
(-0.484375, 0.942924)
(-0.468750, 0.946455)
(-0.453125, 0.949881)
(-0.437500, 0.953203)
(-0.421875, 0.956418)
(-0.406250, 0.959525)
(-0.390625, 0.962525)
(-0.375000, 0.965415)
(-0.359375, 0.968194)
(-0.343750, 0.970863)
(-0.328125, 0.973419)
(-0.312500, 0.975862)
(-0.296875, 0.978191)
(-0.281250, 0.980406)
(-0.265625, 0.982505)
(-0.250000, 0.984488)
(-0.234375, 0.986355)
(-0.218750, 0.988104)
(-0.203125, 0.989735)
(-0.187500, 0.991247)
(-0.171875, 0.992640)
(-0.156250, 0.993914)
(-0.140625, 0.995068)
(-0.125000, 0.996101)
(-0.109375, 0.997013)
(-0.093750, 0.997805)
(-0.078125, 0.998475)
(-0.062500, 0.999024)
(-0.046875, 0.999451)
(-0.031250, 0.999756)
(-0.015625, 0.999939)
(0.000000, 1.000000)
(0.015625, 0.999939)
(0.031250, 0.999756)
(0.046875, 0.999451)
(0.062500, 0.999024)
(0.078125, 0.998475)
(0.093750, 0.997805)
(0.109375, 0.997013)
(0.125000, 0.996101)
(0.140625, 0.995068)
(0.156250, 0.993914)
(0.171875, 0.992640)
(0.187500, 0.991247)
(0.203125, 0.989735)
(0.218750, 0.988104)
(0.234375, 0.986355)
(0.250000, 0.984488)
(0.265625, 0.982505)
(0.281250, 0.980406)
(0.296875, 0.978191)
(0.312500, 0.975862)
(0.328125, 0.973419)
(0.343750, 0.970863)
(0.359375, 0.968194)
(0.375000, 0.965415)
(0.390625, 0.962525)
(0.406250, 0.959525)
(0.421875, 0.956418)
(0.437500, 0.953203)
(0.453125, 0.949881)
(0.468750, 0.946455)
(0.484375, 0.942924)
(0.500000, 0.939291)
(0.515625, 0.935556)
(0.531250, 0.931720)
(0.546875, 0.927786)
(0.562500, 0.923754)
(0.578125, 0.919625)
(0.593750, 0.915401)
(0.609375, 0.911083)
(0.625000, 0.906673)
(0.640625, 0.902172)
(0.656250, 0.897581)
(0.671875, 0.892903)
(0.687500, 0.888138)
(0.703125, 0.883288)
(0.718750, 0.878354)
(0.734375, 0.873339)
(0.750000, 0.868244)
(0.765625, 0.863070)
(0.781250, 0.857820)
(0.796875, 0.852494)
(0.812500, 0.847094)
(0.828125, 0.841623)
(0.843750, 0.836081)
(0.859375, 0.830471)
(0.875000, 0.824795)
(0.890625, 0.819053)
(0.906250, 0.813248)
(0.921875, 0.807382)
(0.937500, 0.801457)
(0.953125, 0.795473)
(0.968750, 0.789434)
(0.984375, 0.783341)
(1.000000, 0.777195)
(1.015625, 0.770999)
(1.031250, 0.764755)
(1.046875, 0.758464)
(1.062500, 0.752128)
(1.078125, 0.745749)
(1.093750, 0.739329)
(1.109375, 0.732870)
(1.125000, 0.726374)
(1.140625, 0.719842)
(1.156250, 0.713277)
(1.171875, 0.706680)
(1.187500, 0.700053)
(1.203125, 0.693399)
(1.218750, 0.686718)
(1.234375, 0.680014)
(1.250000, 0.673287)
(1.265625, 0.666540)
(1.281250, 0.659775)
(1.296875, 0.652993)
(1.312500, 0.646196)
(1.328125, 0.639387)
(1.343750, 0.632566)
(1.359375, 0.625736)
(1.375000, 0.618899)
(1.390625, 0.612056)
(1.406250, 0.605210)
(1.421875, 0.598361)
(1.437500, 0.591513)
(1.453125, 0.584666)
(1.468750, 0.577823)
(1.484375, 0.570984)
(1.500000, 0.564153)
(1.515625, 0.557330)
(1.531250, 0.550518)
(1.546875, 0.543717)
(1.562500, 0.536931)
(1.578125, 0.530159)
(1.593750, 0.523405)
(1.609375, 0.516670)
(1.625000, 0.509954)
(1.640625, 0.503261)
(1.656250, 0.496591)
(1.671875, 0.489947)
(1.687500, 0.483328)
(1.703125, 0.476738)
(1.718750, 0.470178)
(1.734375, 0.463649)
(1.750000, 0.457152)
(1.765625, 0.450690)
(1.781250, 0.444263)
(1.796875, 0.437873)
(1.812500, 0.431522)
(1.828125, 0.425210)
(1.843750, 0.418939)
(1.859375, 0.412711)
(1.875000, 0.406526)
(1.890625, 0.400387)
(1.906250, 0.394293)
(1.921875, 0.388248)
(1.937500, 0.382251)
(1.953125, 0.376304)
(1.968750, 0.370409)
(1.984375, 0.364565)
(2.000000, 0.358776)
(2.015625, 0.353041)
(2.031250, 0.347361)
(2.046875, 0.341739)
(2.062500, 0.336175)
(2.078125, 0.330669)
(2.093750, 0.325224)
(2.109375, 0.319839)
(2.125000, 0.314516)
(2.140625, 0.309257)
(2.156250, 0.304061)
(2.171875, 0.298930)
(2.187500, 0.293865)
(2.203125, 0.288866)
(2.218750, 0.283935)
(2.234375, 0.279072)
(2.250000, 0.274278)
(2.265625, 0.269554)
(2.281250, 0.264901)
(2.296875, 0.260319)
(2.312500, 0.255809)
(2.328125, 0.251372)
(2.343750, 0.247009)
(2.359375, 0.242720)
(2.375000, 0.238506)
(2.390625, 0.234368)
(2.406250, 0.230305)
(2.421875, 0.226320)
(2.437500, 0.222412)
(2.453125, 0.218582)
(2.468750, 0.214830)
(2.484375, 0.211158)
(2.500000, 0.207565)
(2.515625, 0.204053)
(2.531250, 0.200621)
(2.546875, 0.197270)
(2.562500, 0.194001)
(2.578125, 0.190814)
(2.593750, 0.187709)
(2.609375, 0.184687)
(2.625000, 0.181748)
(2.640625, 0.178893)
(2.656250, 0.176122)
(2.671875, 0.173436)
(2.687500, 0.170834)
(2.703125, 0.168317)
(2.718750, 0.165886)
(2.734375, 0.163540)
(2.750000, 0.161280)
(2.765625, 0.159107)
(2.781250, 0.157020)
(2.796875, 0.155019)
(2.812500, 0.153106)
(2.828125, 0.151280)
(2.843750, 0.149542)
(2.859375, 0.147891)
(2.875000, 0.146328)
(2.890625, 0.144853)
(2.906250, 0.143466)
(2.921875, 0.142168)
(2.937500, 0.140958)
(2.953125, 0.139837)
(2.968750, 0.138804)
(2.984375, 0.137861)
(3.000000, 0.137006)
(3.015625, 0.136241)
(3.031250, 0.135564)
(3.046875, 0.134978)
(3.062500, 0.134480)
(3.078125, 0.134072)
(3.093750, 0.133753)
(3.109375, 0.133524)
(3.125000, 0.133384)
(3.140625, 0.133334)
(3.156250, 0.133373)
(3.171875, 0.133501)
(3.187500, 0.133720)
(3.203125, 0.134027)
(3.218750, 0.134425)
(3.234375, 0.134911)
(3.250000, 0.135487)
(3.265625, 0.136152)
(3.281250, 0.136906)
(3.296875, 0.137750)
(3.312500, 0.138682)
(3.328125, 0.139704)
(3.343750, 0.140814)
(3.359375, 0.142013)
(3.375000, 0.143300)
