%============================================================================
% Daniel J. Greenhoe
% n=3 order B-spline auto-power spectrum data
% M = number of data points approx= 1024
% N = iterations per data point = 1000000
% 2017 June 02 Friday 10:05:33 PM UTC
% The command ileplot{d4_phi.dat} may be used in a LaTeX environment for plotting data.
% \fileplot is available in the LaTeX PSTricks package.
% Reference: http://www.ctan.org/pkg/pstricks
%============================================================================
[
(-8.000000, 0.365164)
(-7.984375, 0.372056)
(-7.968750, 0.379006)
(-7.953125, 0.386015)
(-7.937500, 0.393081)
(-7.921875, 0.400202)
(-7.906250, 0.407376)
(-7.890625, 0.414603)
(-7.875000, 0.421880)
(-7.859375, 0.429206)
(-7.843750, 0.436579)
(-7.828125, 0.443998)
(-7.812500, 0.451460)
(-7.796875, 0.458964)
(-7.781250, 0.466507)
(-7.765625, 0.474088)
(-7.750000, 0.481705)
(-7.734375, 0.489356)
(-7.718750, 0.497039)
(-7.703125, 0.504751)
(-7.687500, 0.512491)
(-7.671875, 0.520256)
(-7.656250, 0.528043)
(-7.640625, 0.535852)
(-7.625000, 0.543679)
(-7.609375, 0.551522)
(-7.593750, 0.559379)
(-7.578125, 0.567247)
(-7.562500, 0.575124)
(-7.546875, 0.583007)
(-7.531250, 0.590894)
(-7.515625, 0.598782)
(-7.500000, 0.606669)
(-7.484375, 0.614552)
(-7.468750, 0.622429)
(-7.453125, 0.630296)
(-7.437500, 0.638152)
(-7.421875, 0.645993)
(-7.406250, 0.653816)
(-7.390625, 0.661620)
(-7.375000, 0.669401)
(-7.359375, 0.677156)
(-7.343750, 0.684883)
(-7.328125, 0.692578)
(-7.312500, 0.700240)
(-7.296875, 0.707865)
(-7.281250, 0.715450)
(-7.265625, 0.722993)
(-7.250000, 0.730490)
(-7.234375, 0.737940)
(-7.218750, 0.745338)
(-7.203125, 0.752682)
(-7.187500, 0.759970)
(-7.171875, 0.767198)
(-7.156250, 0.774364)
(-7.140625, 0.781464)
(-7.125000, 0.788496)
(-7.109375, 0.795457)
(-7.093750, 0.802345)
(-7.078125, 0.809156)
(-7.062500, 0.815888)
(-7.046875, 0.822538)
(-7.031250, 0.829103)
(-7.015625, 0.835580)
(-7.000000, 0.841968)
(-6.984375, 0.848262)
(-6.968750, 0.854461)
(-6.953125, 0.860562)
(-6.937500, 0.866562)
(-6.921875, 0.872459)
(-6.906250, 0.878250)
(-6.890625, 0.883932)
(-6.875000, 0.889504)
(-6.859375, 0.894963)
(-6.843750, 0.900307)
(-6.828125, 0.905532)
(-6.812500, 0.910638)
(-6.796875, 0.915621)
(-6.781250, 0.920479)
(-6.765625, 0.925211)
(-6.750000, 0.929814)
(-6.734375, 0.934286)
(-6.718750, 0.938625)
(-6.703125, 0.942830)
(-6.687500, 0.946897)
(-6.671875, 0.950827)
(-6.656250, 0.954616)
(-6.640625, 0.958263)
(-6.625000, 0.961766)
(-6.609375, 0.965125)
(-6.593750, 0.968336)
(-6.578125, 0.971399)
(-6.562500, 0.974313)
(-6.546875, 0.977076)
(-6.531250, 0.979687)
(-6.515625, 0.982144)
(-6.500000, 0.984447)
(-6.484375, 0.986594)
(-6.468750, 0.988584)
(-6.453125, 0.990417)
(-6.437500, 0.992092)
(-6.421875, 0.993608)
(-6.406250, 0.994964)
(-6.390625, 0.996159)
(-6.375000, 0.997194)
(-6.359375, 0.998067)
(-6.343750, 0.998778)
(-6.328125, 0.999327)
(-6.312500, 0.999714)
(-6.296875, 0.999938)
(-6.281250, 0.999999)
(-6.265625, 0.999897)
(-6.250000, 0.999633)
(-6.234375, 0.999206)
(-6.218750, 0.998617)
(-6.203125, 0.997866)
(-6.187500, 0.996953)
(-6.171875, 0.995878)
(-6.156250, 0.994643)
(-6.140625, 0.993247)
(-6.125000, 0.991692)
(-6.109375, 0.989978)
(-6.093750, 0.988106)
(-6.078125, 0.986076)
(-6.062500, 0.983891)
(-6.046875, 0.981549)
(-6.031250, 0.979054)
(-6.015625, 0.976406)
(-6.000000, 0.973605)
(-5.984375, 0.970654)
(-5.968750, 0.967554)
(-5.953125, 0.964306)
(-5.937500, 0.960912)
(-5.921875, 0.957373)
(-5.906250, 0.953690)
(-5.890625, 0.949866)
(-5.875000, 0.945903)
(-5.859375, 0.941801)
(-5.843750, 0.937563)
(-5.828125, 0.933190)
(-5.812500, 0.928686)
(-5.796875, 0.924051)
(-5.781250, 0.919287)
(-5.765625, 0.914398)
(-5.750000, 0.909384)
(-5.734375, 0.904249)
